air force blue raf,#5d8aa8
slategray3,#9fb6cd
slategray4,#6c7b8b
slate gray,#708090
slategray,#708090
smalt dark powder blue,#039
smokey topaz,#933d41
smoky black,#100c08
snow1,#fffafa
snow2,#eee9e9
snow3,#cdc9c9
snow4,#8b8989
snow,#fffafa
spiro disco ball,#0fc0fc
spring bud,#a7fc00
spring green,#00ff7f
springgreen1,#00ff7f
springgreen2,#00ee76
springgreen3,#00cd66
springgreen4,#008b45
steelblue1,#63b8ff
steelblue2,#5cacee
steelblue3,#4f94cd
steelblue4,#36648b
steel blue,#4682b4
steelblue,#4682b4
stil de grain yellow,#fada5e
stizza,#900
stormcloud,#4f666a
st patrick s blue,#23297a
straw,#e4d96f
sunglow,#fc3
sunset,#fad6a5
tan1,#ffa54f
tan2,#ee9a49
tan3,#cd853f
tan4,#8b5a2b
tan,#d2b48c
tangelo,#f94d00
tangerine,#f28500
tangerine yellow,#fc0
tango pink,#e4717a
taupe,#483c32
taupe gray,#8b8589
tea green,#d0f0c0
teal,#008080
teal blue,#367588
teal green,#00827f
tea rose orange,#f88379
tea rose rose,#f4c2c2
telemagenta,#cf3476
tenn tawny,#cd5700
terra cotta,#e2725b
thistle1,#ffe1ff
thistle2,#eed2ee
thistle3,#cdb5cd
thistle4,#8b7b8b
thistle,#d8bfd8
thulian pink,#de6fa1
tickle me pink,#fc89ac
tiffany blue,#0abab5
tiger s eye,#e08d3c
timberwolf,#dbd7d2
titanium yellow,#eee600
tomato1,#ff6347
tomato2,#ee5c42
tomato3,#cd4f39
tomato4,#8b3626
tomato,#ff6347
toolbox,#746cc0
topaz,#ffc87c
tractor red,#fd0e35
trolley grey,#808080
tropical rain forest,#00755e
true blue,#0073cf
tufts blue,#417dc1
tumbleweed,#deaa88
turkish rose,#b57281
turquoise1,#00f5ff
turquoise2,#00e5ee
turquoise3,#00c5cd
turquoise,#30d5c8
turquoise4,#00868b
turquoise,#40e0d0
turquoise blue,#00ffef
turquoise green,#a0d6b4
tuscan red,#7c4848
twilight lavender,#8a496b
tyrian purple,#66023c
ua blue,#03a
ua red,#d9004c
ube,#8878c3
ucla blue,#536895
ucla gold,#ffb300
ufo green,#3cd070
ultramarine,#120a8f
ultramarine blue,#4166f5
ultra pink,#ff6fff
umber,#635147
unbleached silk,#ffddca
united nations blue,#5b92e5
university of california gold,#b78727
unmellow yellow,#ff6
up forest green,#014421
up maroon,#7b1113
upsdell red,#ae2029
urobilin,#e1ad21
usafa blue,#004f98
usc cardinal,#900
usc gold,#fc0
utah crimson,#d3003f
vanilla,#f3e5ab
vegas gold,#c5b358
venetian red,#c80815
verdigris,#43b3ae
vermilion cinnabar,#e34234
vermilion plochere,#d9603b
veronica,#a020f0
violet,#8f00ff
violet blue,#324ab2
violet color wheel,#7f00ff
violet,#ee82ee
violetred1,#ff3e96
violetred2,#ee3a8c
violetred3,#cd3278
violetred4,#8b2252
violetred,#d02090
violet ryb,#8601af
violet web,#ee82ee
viridian,#40826d
vivid auburn,#922724
vivid burgundy,#9f1d35
vivid cerise,#da1d81
vivid tangerine,#ffa089
vivid violet,#9f00ff
warm black,#004242
waterspout,#a4f4f9
wenge,#645452
wheat1,#ffe7ba
wheat2,#eed8ae
wheat3,#cdba96
wheat4,#8b7e66
wheat,#f5deb3
white,#fff
white,#ffffff
white smoke,#f5f5f5
whitesmoke,#f5f5f5
wild blue yonder,#a2add0
wild strawberry,#ff43a4
wild watermelon,#fc6c85
wine,#722f37
wine dregs,#673147
wisteria,#c9a0dc
wood brown,#c19a6b
xanadu,#738678
yale blue,#0f4d92
yellow1,#ffff00
yellow2,#eeee00
yellow3,#cdcd00
yellow4,#8b8b00
yellow,#ff0
yellow green,#9acd32
yellowgreen,#9acd32
yellow munsell,#efcc00
yellow ncs,#ffd300
yellow orange,#ffae42
yellow process,#ffef00
yellow ryb,#fefe33
zaffre,#0014a8
zinnwaldite brown,#2c1608
